input_index,security_code,company_name,status,reason_code,reason,available_fiscal_years
50,9336,大栄環境,incomplete_history,insufficient_year_end_history,Only 4 distinct year-end fiscal years were available; 10 are required.,"2023,2024,2025,2026"
56,9147,ＮＩＰＰＯＮ ＥＸＰＲＥＳＳホールディングス,incomplete_history,insufficient_year_end_history,Only 4 distinct year-end fiscal years were available; 10 are required.,"2022,2023,2024,2025"
75,9023,東京地下鉄,incomplete_history,insufficient_year_end_history,Only 2 distinct year-end fiscal years were available; 10 are required.,"2025,2026"
97,8729,ソニーフィナンシャルグループ,incomplete_history,insufficient_year_end_history,Only 1 distinct year-end fiscal years were available; 10 are required.,2026
147,8303,ＳＢＩ新生銀行,incomplete_history,insufficient_year_end_history,Only 1 distinct year-end fiscal years were available; 10 are required.,2026
215,7685,ＢｕｙＳｅｌｌ Ｔｅｃｈｎｏｌｏｇｉｅｓ,incomplete_history,insufficient_year_end_history,Only 7 distinct year-end fiscal years were available; 10 are required.,"2019,2020,2021,2022,2023,2024,2025"
224,7389,あいちフィナンシャルグループ,incomplete_history,insufficient_year_end_history,Only 4 distinct year-end fiscal years were available; 10 are required.,"2023,2024,2025,2026"
225,7381,ＣＣＩグループ,incomplete_history,insufficient_year_end_history,Only 5 distinct year-end fiscal years were available; 10 are required.,"2022,2023,2024,2025,2026"
226,7380,十六フィナンシャルグループ,incomplete_history,insufficient_year_end_history,Only 5 distinct year-end fiscal years were available; 10 are required.,"2022,2023,2024,2025,2026"
227,7337,ひろぎんホールディングス,incomplete_history,insufficient_year_end_history,Only 6 distinct year-end fiscal years were available; 10 are required.,"2021,2022,2023,2024,2025,2026"
318,6526,ソシオネクスト,incomplete_history,insufficient_year_end_history,Only 4 distinct year-end fiscal years were available; 10 are required.,"2023,2024,2025,2026"
319,6525,ＫＯＫＵＳＡＩ ＥＬＥＣＴＲＩＣ,incomplete_history,insufficient_year_end_history,Only 3 distinct year-end fiscal years were available; 10 are required.,"2024,2025,2026"
381,5844,京都フィナンシャルグループ,incomplete_history,insufficient_year_end_history,Only 3 distinct year-end fiscal years were available; 10 are required.,"2024,2025,2026"
382,5838,楽天銀行,incomplete_history,insufficient_year_end_history,Only 4 distinct year-end fiscal years were available; 10 are required.,"2023,2024,2025,2026"
383,5832,ちゅうぎんフィナンシャルグループ,incomplete_history,insufficient_year_end_history,Only 4 distinct year-end fiscal years were available; 10 are required.,"2023,2024,2025,2026"
384,5831,しずおかフィナンシャルグループ,incomplete_history,insufficient_year_end_history,Only 4 distinct year-end fiscal years were available; 10 are required.,"2023,2024,2025,2026"
385,5830,いよぎんホールディングス,incomplete_history,insufficient_year_end_history,Only 4 distinct year-end fiscal years were available; 10 are required.,"2023,2024,2025,2026"
397,547A,ムニノバホールディングス,incomplete_history,no_primary_tanshin_found,JPX returned no primary Tanshin PDFs for 547A.,
402,543A,ＡＲＣＨＩＯＮ,incomplete_history,no_primary_tanshin_found,JPX returned no primary Tanshin PDFs for 543A.,
423,5076,インフロニア・ホールディングス,incomplete_history,insufficient_year_end_history,Only 5 distinct year-end fiscal years were available; 10 are required.,"2022,2023,2024,2025,2026"
427,5016,ＪＸ金属,incomplete_history,insufficient_year_end_history,Only 2 distinct year-end fiscal years were available; 10 are required.,"2025,2026"
439,4887,サワイグループホールディングス,incomplete_history,insufficient_year_end_history,Only 5 distinct year-end fiscal years were available; 10 are required.,"2022,2023,2024,2025,2026"
440,485A,パワーエックス,incomplete_history,insufficient_year_end_history,Only 1 distinct year-end fiscal years were available; 10 are required.,2025
483,4483,ＪＭＤＣ,incomplete_history,insufficient_year_end_history,Only 7 distinct year-end fiscal years were available; 10 are required.,"2020,2021,2022,2023,2024,2025,2026"
489,4373,シンプレクス・ホールディングス,incomplete_history,insufficient_year_end_history,Only 5 distinct year-end fiscal years were available; 10 are required.,"2022,2023,2024,2025,2026"
493,429A,テクセンドフォトマスク,incomplete_history,insufficient_year_end_history,Only 1 distinct year-end fiscal years were available; 10 are required.,2026
501,4194,ビジョナル,incomplete_history,insufficient_year_end_history,Only 5 distinct year-end fiscal years were available; 10 are required.,"2021,2022,2023,2024,2025"
506,417A,ブルーゾーンホールディングス,incomplete_history,insufficient_year_end_history,Only 1 distinct year-end fiscal years were available; 10 are required.,2026
541,3449,テクノフレックス,incomplete_history,insufficient_year_end_history,Only 7 distinct year-end fiscal years were available; 10 are required.,"2019,2020,2021,2022,2023,2024,2025"
581,285A,キオクシアホールディングス,incomplete_history,insufficient_year_end_history,Only 2 distinct year-end fiscal years were available; 10 are required.,"2025,2026"
593,268A,リガク・ホールディングス,incomplete_history,insufficient_year_end_history,Only 2 distinct year-end fiscal years were available; 10 are required.,"2024,2025"
659,141A,トライアルホールディングス,incomplete_history,insufficient_year_end_history,Only 2 distinct year-end fiscal years were available; 10 are required.,"2024,2025"
